xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,date,tile,proc_date,pixel,ndvi_value,year,season,ndvi_mean,ndvi_sd,ndvi_anomaly,stress_class,elevation,annual_precip_mm,precip_seasonality,spatial_block,seasonal_precip,seasonal_temp,lagged_seasonal_precip
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018001,2018-01-01,h24v06,2021313030137,1,983,2018,Winter,1340.1739130434785,743.9866057700349,-0.4800811066669662,Normal,130,149,119.4010238647461,2,0.04,19.715,4.27
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018017,2018-01-17,h24v06,2021314195715,1,1142,2018,Winter,1340.1739130434785,743.9866057700349,-0.26636758176360703,Normal,130,149,119.4010238647461,2,0.04,19.715,4.27
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018033,2018-02-02,h24v06,2021317104213,1,1004,2018,Winter,1340.1739130434785,743.9866057700349,-0.45185479205708856,Normal,130,149,119.4010238647461,2,0.04,19.715,4.27
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018049,2018-02-18,h24v06,2021319204939,1,1028,2018,Winter,1340.1739130434785,743.9866057700349,-0.41959614678865703,Normal,130,149,119.4010238647461,2,0.04,19.715,4.27
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018065,2018-03-06,h24v06,2021319221423,1,1037,2018,Spring,1340.1739130434785,743.9866057700349,-0.40749915481299515,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018081,2018-03-22,h24v06,2021323055750,1,995,2018,Spring,1340.1739130434785,743.9866057700349,-0.4639517840327504,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018097,2018-04-07,h24v06,2021328091904,1,924,2018,Spring,1340.1739130434785,743.9866057700349,-0.5593836096185272,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018113,2018-04-23,h24v06,2021328223330,1,884,2018,Spring,1340.1739130434785,743.9866057700349,-0.6131480183992465,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018129,2018-05-09,h24v06,2021339231643,1,907,2018,Spring,1340.1739130434785,743.9866057700349,-0.5822334833503329,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018145,2018-05-25,h24v06,2021339231943,1,899,2018,Spring,1340.1739130434785,743.9866057700349,-0.5929863651064767,Normal,130,149,119.4010238647461,2,0.6,31.2375,0.05
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018161,2018-06-10,h24v06,2021339232136,1,816,2018,Summer,1340.1739130434785,743.9866057700349,-0.7045475133264693,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018177,2018-06-26,h24v06,2021339232322,1,834,2018,Summer,1340.1739130434785,743.9866057700349,-0.6803535293751455,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018193,2018-07-12,h24v06,2021339232516,1,777,2018,Summer,1340.1739130434785,743.9866057700349,-0.7569678118876705,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018209,2018-07-28,h24v06,2021339232743,1,767,2018,Summer,1340.1739130434785,743.9866057700349,-0.7704089140828504,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018225,2018-08-13,h24v06,2021339232945,1,847,2018,Summer,1340.1739130434785,743.9866057700349,-0.6628800965214118,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018241,2018-08-29,h24v06,2021341195053,1,876,2018,Summer,1340.1739130434785,743.9866057700349,-0.6239009001553902,Normal,130,149,119.4010238647461,2,4.27,34.85,0.6
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018257,2018-09-14,h24v06,2021350195750,1,878,2018,Autumn,1340.1739130434785,743.9866057700349,-0.6212126797163543,Normal,130,149,119.4010238647461,2,0.05,32.13,NA
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018273,2018-09-30,h24v06,2021350200017,1,927,2018,Autumn,1340.1739130434785,743.9866057700349,-0.5553512789599732,Normal,130,149,119.4010238647461,2,0.05,32.13,NA
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018289,2018-10-16,h24v06,2021350200155,1,955,2018,Autumn,1340.1739130434785,743.9866057700349,-0.5177161928134697,Normal,130,149,119.4010238647461,2,0.05,32.13,NA
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018305,2018-11-01,h24v06,2021350200358,1,948,2018,Autumn,1340.1739130434785,743.9866057700349,-0.5271249643500956,Normal,130,149,119.4010238647461,2,0.05,32.13,NA
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018321,2018-11-17,h24v06,2021350200516,1,976,2018,Autumn,1340.1739130434785,743.9866057700349,-0.4894898782035921,Normal,130,149,119.4010238647461,2,0.05,32.13,NA
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018337,2018-12-03,h24v06,2021350200811,1,932,2018,Winter,1340.1739130434785,743.9866057700349,-0.5486307278623833,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2018353,2018-12-19,h24v06,2021361142747,1,982,2018,Winter,1340.1739130434785,743.9866057700349,-0.4814252168864842,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019001,2019-01-01,h24v06,2020286133721,1,820,2019,Winter,1340.1739130434785,743.9866057700349,-0.6991710724483973,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019017,2019-01-17,h24v06,2020286174326,1,820,2019,Winter,1340.1739130434785,743.9866057700349,-0.6991710724483973,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019033,2019-02-02,h24v06,2020287233814,1,830,2019,Winter,1340.1739130434785,743.9866057700349,-0.6857299702532175,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019049,2019-02-18,h24v06,2020288235242,1,867,2019,Winter,1340.1739130434785,743.9866057700349,-0.6359978921310522,Normal,130,149,119.4010238647461,2,2.57,17.197499999999998,4.390000000000001
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019065,2019-03-06,h24v06,2020290172122,1,913,2019,Spring,1340.1739130434785,743.9866057700349,-0.574168822033225,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019081,2019-03-22,h24v06,2020291172115,1,858,2019,Spring,1340.1739130434785,743.9866057700349,-0.648094884106714,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019097,2019-04-07,h24v06,2020292132348,1,809,2019,Spring,1340.1739130434785,743.9866057700349,-0.713956284863095,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019113,2019-04-23,h24v06,2020293160332,1,779,2019,Spring,1340.1739130434785,743.9866057700349,-0.7542795914486345,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019129,2019-05-09,h24v06,2020294164101,1,824,2019,Spring,1340.1739130434785,743.9866057700349,-0.6937946315703254,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019145,2019-05-25,h24v06,2020298035736,1,965,2019,Spring,1340.1739130434785,743.9866057700349,-0.5042750906182899,Normal,130,149,119.4010238647461,2,2.1,29.5375,1.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019161,2019-06-10,h24v06,2020298200252,1,1118,2019,Summer,1340.1739130434785,743.9866057700349,-0.2986262270320386,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019177,2019-06-26,h24v06,2020303065558,1,1174,2019,Summer,1340.1739130434785,743.9866057700349,-0.2233560547390316,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019193,2019-07-12,h24v06,2020304012528,1,886,2019,Summer,1340.1739130434785,743.9866057700349,-0.6104597979602104,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019209,2019-07-28,h24v06,2020304171320,1,990,2019,Summer,1340.1739130434785,743.9866057700349,-0.47067233513034035,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019225,2019-08-13,h24v06,2020306134511,1,1481,2019,Summer,1340.1739130434785,743.9866057700349,0.18928578265298887,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019241,2019-08-29,h24v06,2020308173106,1,1380,2019,Summer,1340.1739130434785,743.9866057700349,0.05353065048167269,Normal,130,149,119.4010238647461,2,4.390000000000001,35.91,2.1
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019257,2019-09-14,h24v06,2020312083840,1,1744,2019,Autumn,1340.1739130434785,743.9866057700349,0.5427867703862181,Normal,130,149,119.4010238647461,2,1.21,34,0.01
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019273,2019-09-30,h24v06,2020314003048,1,1144,2019,Autumn,1340.1739130434785,743.9866057700349,-0.2636793613245711,Normal,130,149,119.4010238647461,2,1.21,34,0.01
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019289,2019-10-16,h24v06,2020315234306,1,1128,2019,Autumn,1340.1739130434785,743.9866057700349,-0.2851851248368588,Normal,130,149,119.4010238647461,2,1.21,34,0.01
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019305,2019-11-01,h24v06,2020317182703,1,989,2019,Autumn,1340.1739130434785,743.9866057700349,-0.4720164453498583,Normal,130,149,119.4010238647461,2,1.21,34,0.01
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019321,2019-11-17,h24v06,2020319014452,1,931,2019,Autumn,1340.1739130434785,743.9866057700349,-0.5499748380819013,Normal,130,149,119.4010238647461,2,1.21,34,0.01
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019337,2019-12-03,h24v06,2020321212421,1,1055,2019,Winter,1340.1739130434785,743.9866057700349,-0.3833051708616715,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2019353,2019-12-19,h24v06,2020323182210,1,1122,2019,Winter,1340.1739130434785,743.9866057700349,-0.2932497861539667,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020001,2020-01-01,h24v06,2020326052842,1,834,2020,Winter,1340.1739130434785,743.9866057700349,-0.6803535293751455,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020017,2020-01-17,h24v06,2020328135725,1,960,2020,Winter,1340.1739130434785,743.9866057700349,-0.5109956417158797,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020033,2020-02-02,h24v06,2020329063158,1,861,2020,Winter,1340.1739130434785,743.9866057700349,-0.64406255344816,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020049,2020-02-18,h24v06,2020335003051,1,903,2020,Winter,1340.1739130434785,743.9866057700349,-0.5876099242284047,Normal,130,149,119.4010238647461,2,0.5800000000000001,17.68,7.21
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020065,2020-03-05,h24v06,2020330162129,1,892,2020,Spring,1340.1739130434785,743.9866057700349,-0.6023951366431026,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020081,2020-03-21,h24v06,2020335020926,1,945,2020,Spring,1340.1739130434785,743.9866057700349,-0.5311572950086495,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020097,2020-04-06,h24v06,2020332105145,1,846,2020,Spring,1340.1739130434785,743.9866057700349,-0.6642242067409297,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020113,2020-04-22,h24v06,2020333050932,1,867,2020,Spring,1340.1739130434785,743.9866057700349,-0.6359978921310522,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020129,2020-05-08,h24v06,2020334195414,1,782,2020,Spring,1340.1739130434785,743.9866057700349,-0.7502472607900806,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020145,2020-05-24,h24v06,2020335211017,1,759,2020,Spring,1340.1739130434785,743.9866057700349,-0.7811617958389941,Normal,130,149,119.4010238647461,2,4.4,28.915,0.72
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020161,2020-06-09,h24v06,2020336161908,1,821,2020,Summer,1340.1739130434785,743.9866057700349,-0.6978269622288793,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020177,2020-06-25,h24v06,2020340105006,1,859,2020,Summer,1340.1739130434785,743.9866057700349,-0.646750773887196,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020193,2020-07-11,h24v06,2020340133253,1,800,2020,Summer,1340.1739130434785,743.9866057700349,-0.726053276838757,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020209,2020-07-27,h24v06,2020342021023,1,977,2020,Summer,1340.1739130434785,743.9866057700349,-0.4881457679840741,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020225,2020-08-12,h24v06,2020344203850,1,1208,2020,Summer,1340.1739130434785,743.9866057700349,-0.17765630727542023,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020241,2020-08-28,h24v06,2020346101601,1,1883,2020,Summer,1340.1739130434785,743.9866057700349,0.7296180908992177,Normal,130,149,119.4010238647461,2,7.21,35.69,4.4
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020257,2020-09-13,h24v06,2020347062753,1,2121,2020,Autumn,1340.1739130434785,743.9866057700349,1.0495163231444975,Normal,130,149,119.4010238647461,2,0.72,31.78,1.09
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020273,2020-09-29,h24v06,2020349194915,1,1949,2020,Autumn,1340.1739130434785,743.9866057700349,0.8183293653874045,Normal,130,149,119.4010238647461,2,0.72,31.78,1.09
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020289,2020-10-15,h24v06,2020352194226,1,1782,2020,Autumn,1340.1739130434785,743.9866057700349,0.5938629587279015,Normal,130,149,119.4010238647461,2,0.72,31.78,1.09
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020305,2020-10-31,h24v06,2020353092200,1,1703,2020,Autumn,1340.1739130434785,743.9866057700349,0.4876782513859809,Normal,130,149,119.4010238647461,2,0.72,31.78,1.09
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020321,2020-11-16,h24v06,2020357091631,1,1486,2020,Autumn,1340.1739130434785,743.9866057700349,0.1960063337505788,Normal,130,149,119.4010238647461,2,0.72,31.78,1.09
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020337,2020-12-02,h24v06,2021011170019,1,1507,2020,Winter,1340.1739130434785,743.9866057700349,0.2242326483604564,Normal,130,149,119.4010238647461,2,0.03,19.150000000000002,4.89
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2020353,2020-12-18,h24v06,2021012025254,1,1329,2020,Winter,1340.1739130434785,743.9866057700349,-0.01501897071374439,Normal,130,149,119.4010238647461,2,0.03,19.150000000000002,4.89
6974941.24,3084041.13,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,1e-4,27.736341214981,70.8702310806446,point_1,MOD13Q1,2018-01-01,2024-12-31,TRUE,A2021001,2021-01-01,h24v06,2021043142901,1,1349,2021,Winter,1340.1739130434785,743.9866057700349,0.01186323367661524,Normal,130,149,119.4010238647461,2,0.03,19.150000000000002,4.89
