Fold,Model,N_Observations,RMSE,MAE,R2,Validation_Type,Year
1,GAM,3850,0.9835397542158609,0.7968031860365711,0.09125154816725613,Spatial_CV_Fold,NA
1,RF,3850,0.9432167140395633,0.7664870527387414,0.13873478075145934,Spatial_CV_Fold,NA
2,GAM,8778,0.9153739821580666,0.7171259033441802,0.1869304126830332,Spatial_CV_Fold,NA
2,RF,8778,0.8923859934398174,0.6882591365995929,0.22082740102523885,Spatial_CV_Fold,NA
3,GAM,7238,0.9084356888668108,0.6949355014894981,0.1925199337468531,Spatial_CV_Fold,NA
3,RF,7238,0.846739382180016,0.616704597826276,0.2986381604670338,Spatial_CV_Fold,NA
4,GAM,10780,0.8761927275120047,0.667663180750376,0.24866664907280636,Spatial_CV_Fold,NA
4,RF,10780,0.7916465244015473,0.569419037969813,0.38606991871917,Spatial_CV_Fold,NA
NA,GAM,4179,1.2880041085416967,0.9359536844378341,0.09992324909420605,Temporal_2024,2024
NA,RF,4179,1.2289033165958514,0.8939091168542632,0.15601970758519407,Temporal_2024,2024
